concessionaria;mes_ano;sentido;praca;tipo_cobranca;categoria;tipo_de_veiculo;volume_total
RODOVIA DO AÇO;01/12/2020;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;32891,00
RODOVIA DO AÇO;01/01/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;36984,00
RODOVIA DO AÇO;01/02/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;26556,00
RODOVIA DO AÇO;01/03/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;24093,00
RODOVIA DO AÇO;01/05/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;27505,00
RODOVIA DO AÇO;01/06/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;28520,00
RODOVIA DO AÇO;01/07/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33021,00
RODOVIA DO AÇO;01/08/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;30520,00
RODOVIA DO AÇO;01/09/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;29671,00
RODOVIA DO AÇO;01/10/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;30635,00
RODOVIA DO AÇO;01/11/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;28882,00
RODOVIA DO AÇO;01/12/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;33045,00
Rodovia do Aço;01/04/2021;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;24402,00
RODOVIA DO AÇO;01/01/2022;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;38059,00
RODOVIA DO AÇO;01/02/2022;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;25269,00
RODOVIA DO AÇO;01/03/2022;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;29081,00
RODOVIA DO AÇO;01/04/2022;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;29898,00
RODOVIA DO AÇO;01/05/2022;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;28386,00
RODOVIA DO AÇO;01/06/2022;Crescente;SAPUCAIA;N/I;Categoria 1;Passeio;27850,00
